Well,Cytokine,Signal,Calculated Concentration (pg/mL)
A02,GM-CSF,207,N/A
H02,GM-CSF,113,N/A
A03,GM-CSF,1278,23.7963
H03,GM-CSF,1611,81.4167
A04,GM-CSF,4529,403.3298
H04,GM-CSF,5797,517.0922
A05,GM-CSF,18374,1432.8478
H05,GM-CSF,21263,1617.1089
A06,GM-CSF,74083,4477.7543
H06,GM-CSF,84188,4973.5799
A07,GM-CSF,270599,13621.0063
H07,GM-CSF,304331,15215.2692
A08,GM-CSF,1070008,80562.9655
H08,GM-CSF,1143081,95268.5656
A09,GM-CSF,1809801,N/A
H09,GM-CSF,1846757,N/A
A02,IFN-γ,623,744.0991
H02,IFN-γ,165,N/A
A03,IFN-γ,651,792.5329
H03,IFN-γ,393,293.7802
A04,IFN-γ,1089,1470.1701
H04,IFN-γ,1037,1395.3806
A05,IFN-γ,3417,4235.8427
H05,IFN-γ,3558,4383.5946
A06,IFN-γ,14390,13838.1061
H06,IFN-γ,14199,13687.7381
A07,IFN-γ,52179,41273.4399
H07,IFN-γ,52864,41764.5606
A08,IFN-γ,237392,274487.6383
H08,IFN-γ,242445,288526.6296
A09,IFN-γ,1059190,N/A
H09,IFN-γ,1002274,N/A
A02,IL-10,606,N/A
H02,IL-10,273,N/A
A03,IL-10,806,40.3202
H03,IL-10,675,14.9377
A04,IL-10,1804,170.8319
H04,IL-10,1886,179.9219
A05,IL-10,6855,618.9887
H05,IL-10,7416,661.9323
A06,IL-10,26007,1871.7157
H06,IL-10,26859,1922.1213
A07,IL-10,98680,5893.9584
H07,IL-10,103299,6151.5317
A08,IL-10,335074,25335.7253
H08,IL-10,343984,26590.3127
A09,IL-10,769096,N/A
H09,IL-10,780459,N/A
A02,IL-1β,887,43.5702
H02,IL-1β,195,N/A
A03,IL-1β,1360,95.0938
H03,IL-1β,683,14.6384
A04,IL-1β,2149,166.1018
H04,IL-1β,2116,163.3366
A05,IL-1β,7362,521.9657
H05,IL-1β,7459,527.7756
A06,IL-1β,29935,1648.9343
H06,IL-1β,30162,1659.0831
A07,IL-1β,111113,4937.7794
H07,IL-1β,106123,4742.0133
A08,IL-1β,417213,20109.5746
H08,IL-1β,412734,19799.2194
A09,IL-1β,1264883,N/A
H09,IL-1β,1186955,N/A
A02,IL-2,421,133.7213
H02,IL-2,141,N/A
A03,IL-2,411,129.9791
H03,IL-2,179,27.2074
A04,IL-2,439,140.3823
H04,IL-2,349,106.0075
A05,IL-2,856,277.7134
H05,IL-2,982,315.2304
A06,IL-2,3151,862.9882
H06,IL-2,3745,998.1097
A07,IL-2,11944,2750.0604
H07,IL-2,13807,3155.6201
A08,IL-2,50561,19167.4174
H08,IL-2,57538,29393.4821
A09,IL-2,188551,N/A
H09,IL-2,239755,N/A
A02,IL-4,188,N/A
H02,IL-4,94,N/A
A03,IL-4,786,6.0051
H03,IL-4,829,8.4055
A04,IL-4,2572,68.8107
H04,IL-4,2776,74.5447
A05,IL-4,10177,241.6998
H05,IL-4,10745,252.8952
A06,IL-4,39995,740.4040
H06,IL-4,40060,741.3872
A07,IL-4,154084,2342.2585
H07,IL-4,154892,2353.6007
A08,IL-4,605506,12943.9612
H08,IL-4,597286,12573.0018
A09,IL-4,1379072,N/A
H09,IL-4,1474619,N/A
A02,IL-5,577,86.4368
H02,IL-5,141,N/A
A03,IL-5,523,71.7837
H03,IL-5,395,32.2175
A04,IL-5,1133,212.1482
H04,IL-5,1067,198.6547
A05,IL-5,4003,685.4161
H05,IL-5,4145,705.9225
A06,IL-5,17283,2294.0542
H06,IL-5,16103,2163.8954
A07,IL-5,61651,6947.1147
H07,IL-5,59964,6766.4954
A08,IL-5,246308,50730.4213
H08,IL-5,241288,47650.9376
A09,IL-5,836216,N/A
H09,IL-5,791590,N/A
A02,IL-6,1605,0.0293
H02,IL-6,744,0.0066
A03,IL-6,1555,0.0280
H03,IL-6,521,0.0007
A04,IL-6,928,0.0114
H04,IL-6,762,0.0071
A05,IL-6,1957,0.0387
H05,IL-6,1966,0.0389
A06,IL-6,6671,0.1647
H06,IL-6,6970,0.1727
A07,IL-6,27024,0.7317
H07,IL-6,29395,0.8003
A08,IL-6,130007,4.3286
H08,IL-6,134248,4.5097
A09,IL-6,586864,324.7259
H09,IL-6,579611,257.1479
A02,MCP-1,45973,0.0066
H02,MCP-1,9680,0.0013
A03,MCP-1,26348,0.0039
H03,MCP-1,5076,0.0002
A04,MCP-1,15126,0.0022
H04,MCP-1,5588,0.0003
A05,MCP-1,13071,0.0019
H05,MCP-1,8629,0.0010
A06,MCP-1,28182,0.0042
H06,MCP-1,25636,0.0038
A07,MCP-1,109654,0.0143
H07,MCP-1,110922,0.0145
A08,MCP-1,385905,0.0546
H08,MCP-1,401049,0.0576
A09,MCP-1,775936,0.3250
H09,MCP-1,831302,0.6577
A02,TNF-α,1222,104.8640
H02,TNF-α,256,N/A
A03,TNF-α,580,29.1672
H03,TNF-α,505,17.1415
A04,TNF-α,1175,100.0374
H04,TNF-α,1095,91.6581
A05,TNF-α,4081,341.3634
H05,TNF-α,4223,351.6180
A06,TNF-α,17749,1158.4709
H06,TNF-α,15813,1053.8078
A07,TNF-α,62536,3371.5635
H07,TNF-α,61962,3343.6719
A08,TNF-α,269475,19123.0053
H08,TNF-α,246720,16237.0936
A09,TNF-α,940177,N/A
H09,TNF-α,867425,N/A
