Well,Cytokine,Signal,Calculated Concentration (pg/mL)
A02,GM-CSF,207,N/A
H02,GM-CSF,113,N/A
A03,GM-CSF,1278,N/A
H03,GM-CSF,1611,N/A
A04,GM-CSF,4529,N/A
H04,GM-CSF,5797,N/A
A05,GM-CSF,18374,N/A
H05,GM-CSF,21263,N/A
A06,GM-CSF,74083,N/A
H06,GM-CSF,84188,N/A
A07,GM-CSF,270599,N/A
H07,GM-CSF,304331,N/A
A08,GM-CSF,1070008,N/A
H08,GM-CSF,1143081,N/A
A09,GM-CSF,1809801,N/A
H09,GM-CSF,1846757,N/A
A02,IFN-γ,623,N/A
H02,IFN-γ,165,N/A
A03,IFN-γ,651,N/A
H03,IFN-γ,393,N/A
A04,IFN-γ,1089,N/A
H04,IFN-γ,1037,N/A
A05,IFN-γ,3417,N/A
H05,IFN-γ,3558,N/A
A06,IFN-γ,14390,N/A
H06,IFN-γ,14199,N/A
A07,IFN-γ,52179,N/A
H07,IFN-γ,52864,N/A
A08,IFN-γ,237392,N/A
H08,IFN-γ,242445,N/A
A09,IFN-γ,1059190,N/A
H09,IFN-γ,1002274,N/A
A02,IL-10,606,N/A
H02,IL-10,273,N/A
A03,IL-10,806,N/A
H03,IL-10,675,N/A
A04,IL-10,1804,N/A
H04,IL-10,1886,N/A
A05,IL-10,6855,N/A
H05,IL-10,7416,N/A
A06,IL-10,26007,N/A
H06,IL-10,26859,N/A
A07,IL-10,98680,N/A
H07,IL-10,103299,N/A
A08,IL-10,335074,N/A
H08,IL-10,343984,N/A
A09,IL-10,769096,N/A
H09,IL-10,780459,N/A
A02,IL-1β,887,N/A
H02,IL-1β,195,N/A
A03,IL-1β,1360,N/A
H03,IL-1β,683,N/A
A04,IL-1β,2149,N/A
H04,IL-1β,2116,N/A
A05,IL-1β,7362,N/A
H05,IL-1β,7459,N/A
A06,IL-1β,29935,N/A
H06,IL-1β,30162,N/A
A07,IL-1β,111113,N/A
H07,IL-1β,106123,N/A
A08,IL-1β,417213,N/A
H08,IL-1β,412734,N/A
A09,IL-1β,1264883,N/A
H09,IL-1β,1186955,N/A
A02,IL-2,421,N/A
H02,IL-2,141,N/A
A03,IL-2,411,N/A
H03,IL-2,179,N/A
A04,IL-2,439,N/A
H04,IL-2,349,N/A
A05,IL-2,856,N/A
H05,IL-2,982,N/A
A06,IL-2,3151,N/A
H06,IL-2,3745,N/A
A07,IL-2,11944,N/A
H07,IL-2,13807,N/A
A08,IL-2,50561,N/A
H08,IL-2,57538,N/A
A09,IL-2,188551,N/A
H09,IL-2,239755,N/A
A02,IL-4,188,N/A
H02,IL-4,94,N/A
A03,IL-4,786,N/A
H03,IL-4,829,N/A
A04,IL-4,2572,N/A
H04,IL-4,2776,N/A
A05,IL-4,10177,N/A
H05,IL-4,10745,N/A
A06,IL-4,39995,N/A
H06,IL-4,40060,N/A
A07,IL-4,154084,N/A
H07,IL-4,154892,N/A
A08,IL-4,605506,N/A
H08,IL-4,597286,N/A
A09,IL-4,1379072,N/A
H09,IL-4,1474619,N/A
A02,IL-5,577,N/A
H02,IL-5,141,N/A
A03,IL-5,523,N/A
H03,IL-5,395,N/A
A04,IL-5,1133,N/A
H04,IL-5,1067,N/A
A05,IL-5,4003,N/A
H05,IL-5,4145,N/A
A06,IL-5,17283,N/A
H06,IL-5,16103,N/A
A07,IL-5,61651,N/A
H07,IL-5,59964,N/A
A08,IL-5,246308,N/A
H08,IL-5,241288,N/A
A09,IL-5,836216,N/A
H09,IL-5,791590,N/A
A02,IL-6,1605,N/A
H02,IL-6,744,N/A
A03,IL-6,1555,N/A
H03,IL-6,521,N/A
A04,IL-6,928,N/A
H04,IL-6,762,N/A
A05,IL-6,1957,N/A
H05,IL-6,1966,N/A
A06,IL-6,6671,N/A
H06,IL-6,6970,N/A
A07,IL-6,27024,N/A
H07,IL-6,29395,N/A
A08,IL-6,130007,N/A
H08,IL-6,134248,N/A
A09,IL-6,586864,N/A
H09,IL-6,579611,N/A
A02,MCP-1,45973,N/A
H02,MCP-1,9680,N/A
A03,MCP-1,26348,N/A
H03,MCP-1,5076,N/A
A04,MCP-1,15126,N/A
H04,MCP-1,5588,N/A
A05,MCP-1,13071,N/A
H05,MCP-1,8629,N/A
A06,MCP-1,28182,N/A
H06,MCP-1,25636,N/A
A07,MCP-1,109654,N/A
H07,MCP-1,110922,N/A
A08,MCP-1,385905,N/A
H08,MCP-1,401049,N/A
A09,MCP-1,775936,N/A
H09,MCP-1,831302,N/A
A02,TNF-α,1222,N/A
H02,TNF-α,256,N/A
A03,TNF-α,580,N/A
H03,TNF-α,505,N/A
A04,TNF-α,1175,N/A
H04,TNF-α,1095,N/A
A05,TNF-α,4081,N/A
H05,TNF-α,4223,N/A
A06,TNF-α,17749,N/A
H06,TNF-α,15813,N/A
A07,TNF-α,62536,N/A
H07,TNF-α,61962,N/A
A08,TNF-α,269475,N/A
H08,TNF-α,246720,N/A
A09,TNF-α,940177,N/A
H09,TNF-α,867425,N/A
