Well,Cytokine,Signal,Calculated Concentration (pg/mL),Source Plate,Notes
A02,GM-CSF,207,0.0801,E3P6,
H02,GM-CSF,113,0.0010,E3P6,
A03,GM-CSF,1278,0.9676,E3P6,Standard (Known: 1.13 pg/mL)
H03,GM-CSF,1611,1.2422,E3P6,Standard (Known: 1.13 pg/mL)
A04,GM-CSF,4529,3.6396,E3P6,Standard (Known: 4.51 pg/mL)
H04,GM-CSF,5797,4.6793,E3P6,Standard (Known: 4.51 pg/mL)
A05,GM-CSF,18374,14.9902,E3P6,Standard (Known: 18.05 pg/mL)
H05,GM-CSF,21263,17.3635,E3P6,Standard (Known: 18.05 pg/mL)
A06,GM-CSF,74083,61.3940,E3P6,Standard (Known: 72.19 pg/mL)
H06,GM-CSF,84188,69.9776,E3P6,Standard (Known: 72.19 pg/mL)
A07,GM-CSF,270599,239.4452,E3P6,Standard (Known: 288.75 pg/mL)
H07,GM-CSF,304331,272.6258,E3P6,Standard (Known: 288.75 pg/mL)
A08,GM-CSF,1070008,1352.6231,E3P6,Standard (Known: 1155 pg/mL)
H08,GM-CSF,1143081,1505.0600,E3P6,Standard (Known: 1155 pg/mL)
A09,GM-CSF,1809801,3855.0935,E3P6,Standard (Known: 4620 pg/mL)
H09,GM-CSF,1846757,4074.1027,E3P6,Standard (Known: 4620 pg/mL)
A02,IFN-γ,623,8.8169,E3P6,
H02,IFN-γ,165,0.2526,E3P6,
A03,IFN-γ,651,9.3308,E3P6,Standard (Known: 3.92 pg/mL)
H03,IFN-γ,393,4.5681,E3P6,Standard (Known: 3.92 pg/mL)
A04,IFN-γ,1089,17.3087,E3P6,Standard (Known: 15.67 pg/mL)
H04,IFN-γ,1037,16.3663,E3P6,Standard (Known: 15.67 pg/mL)
A05,IFN-γ,3417,58.8443,E3P6,Standard (Known: 62.70 pg/mL)
H05,IFN-γ,3558,61.3340,E3P6,Standard (Known: 62.70 pg/mL)
A06,IFN-γ,14390,249.1833,E3P6,Standard (Known: 250.78 pg/mL)
H06,IFN-γ,14199,245.9069,E3P6,Standard (Known: 250.78 pg/mL)
A07,IFN-γ,52179,887.2836,E3P6,Standard (Known: 1003.13 pg/mL)
H07,IFN-γ,52864,898.7313,E3P6,Standard (Known: 1003.13 pg/mL)
A08,IFN-γ,237392,3925.8438,E3P6,Standard (Known: 4012.5 pg/mL)
H08,IFN-γ,242445,4007.7949,E3P6,Standard (Known: 4012.5 pg/mL)
A09,IFN-γ,1059190,17025.4046,E3P6,Standard (Known: 16050 pg/mL)
H09,IFN-γ,1002274,16127.0810,E3P6,Standard (Known: 16050 pg/mL)
A02,IL-10,606,0.4613,2BOANACS77,
H02,IL-10,273,0.1399,2BOANACS77,
A03,IL-10,806,0.6577,2BOANACS77,Standard (Known: 0.49 pg/mL)
H03,IL-10,675,0.5289,2BOANACS77,Standard (Known: 0.49 pg/mL)
A04,IL-10,1804,1.6554,2BOANACS77,Standard (Known: 1.97 pg/mL)
H04,IL-10,1886,1.7383,2BOANACS77,Standard (Known: 1.97 pg/mL)
A05,IL-10,6855,6.8860,2BOANACS77,Standard (Known: 7.87 pg/mL)
H05,IL-10,7416,7.4775,2BOANACS77,Standard (Known: 7.87 pg/mL)
A06,IL-10,26007,27.7238,2BOANACS77,Standard (Known: 31.48 pg/mL)
H06,IL-10,26859,28.6752,2BOANACS77,Standard (Known: 31.48 pg/mL)
A07,IL-10,98680,114.3599,2BOANACS77,Standard (Known: 125.94 pg/mL)
H07,IL-10,103299,120.2184,2BOANACS77,Standard (Known: 125.94 pg/mL)
A08,IL-10,335074,473.0773,2BOANACS77,Standard (Known: 503.75 pg/mL)
H08,IL-10,343984,489.2949,2BOANACS77,Standard (Known: 503.75 pg/mL)
A09,IL-10,769096,1650.2782,2BOANACS77,Standard (Known: 2015 pg/mL)
H09,IL-10,780459,1696.8330,2BOANACS77,Standard (Known: 2015 pg/mL)
A02,IL-1β,887,0.6644,E3P6,
H02,IL-1β,195,0.0103,E3P6,
A03,IL-1β,1360,1.1233,E3P6,Standard (Known: 0.54 pg/mL)
H03,IL-1β,683,0.4684,E3P6,Standard (Known: 0.54 pg/mL)
A04,IL-1β,2149,1.8973,E3P6,Standard (Known: 2.17 pg/mL)
