Well,Cytokine,Signal,My Calculated (pg/mL),MSD Calculated (pg/mL),Difference (%)
A02,GM-CSF,207,0.0490,0.0444,10.28
H02,GM-CSF,113,,,
A03,GM-CSF,1278,1.2747,1.0274,24.08
H03,GM-CSF,1611,1.5792,1.3292,18.81
A04,GM-CSF,4529,3.8718,3.9507,2.00
H04,GM-CSF,5797,4.7589,5.0829,6.37
A05,GM-CSF,18374,12.3015,16.2469,24.28
H05,GM-CSF,21263,13.8641,18.8067,26.28
A06,GM-CSF,74083,38.8202,66.0091,41.19
H06,GM-CSF,84188,43.2153,75.1717,42.51
A07,GM-CSF,270599,120.2466,254.8537,52.82
H07,GM-CSF,304331,134.3231,289.8499,53.66
A08,GM-CSF,1070008,610.2120,1411.8994,56.78
H08,GM-CSF,1143081,689.9852,1568.2142,56.00
A09,GM-CSF,1809801,4117.0733,3927.0348,4.84
H09,GM-CSF,1846757,5377.9544,4142.3522,29.83
A02,IFN-γ,623,2.9801,5.7024,47.74
H02,IFN-γ,165,,,
A03,IFN-γ,651,3.2298,6.3271,48.95
H03,IFN-γ,393,0.5949,0.3390,75.52
A04,IFN-γ,1089,6.7235,15.8125,57.48
H04,IFN-γ,1037,6.3368,14.7065,56.91
A05,IFN-γ,3417,21.2411,63.1265,66.35
H05,IFN-γ,3558,22.0257,65.9117,66.58
A06,IFN-γ,14390,72.7133,270.3193,73.10
H06,IFN-γ,14199,71.9079,266.8124,73.05
A07,IFN-γ,52179,213.2601,937.7905,77.26
H07,IFN-γ,52864,215.6281,949.5849,77.29
A08,IFN-γ,237392,837.8347,3986.0122,78.98
H08,IFN-γ,242445,855.9299,4066.8568,78.95
A09,IFN-γ,1059190,17036.1035,16587.4224,2.70
H09,IFN-γ,1002274,11224.2949,15735.8593,28.67
A02,IL-10,606,0.3206,0.2618,22.46
H02,IL-10,273,,,
A03,IL-10,806,0.6810,0.5386,26.43
H03,IL-10,675,0.4509,0.3583,25.85
A04,IL-10,1804,2.1626,1.8583,16.38
H04,IL-10,1886,2.2737,1.9643,15.75
A05,IL-10,6855,8.0841,8.1668,1.01
H05,IL-10,7416,8.6808,8.8523,1.94
A06,IL-10,26007,26.3569,31.1356,15.35
H06,IL-10,26859,27.1153,32.1501,15.66
A07,IL-10,98680,87.7884,119.9442,26.81
H07,IL-10,103299,91.6820,125.8315,27.14
A08,IL-10,335074,328.4024,485.3594,32.34
H08,IL-10,343984,340.1763,502.5089,32.30
A09,IL-10,769096,2168.1290,2026.3759,7.00
H09,IL-10,780459,2357.8720,2104.4514,12.04
A02,IL-1β,887,0.5061,0.4412,14.70
H02,IL-1β,195,,,
A03,IL-1β,1360,1.1496,1.0476,9.74
H03,IL-1β,683,0.1573,0.1765,10.86
A04,IL-1β,2149,2.0607,2.0489,0.58
H04,IL-1β,2116,2.0249,2.0072,0.88
A05,IL-1β,7362,6.8052,8.5674,20.57
H05,IL-1β,7459,6.8841,8.6879,20.76
A06,IL-1β,29935,22.4375,36.4528,38.45
H06,IL-1β,30162,22.5799,36.7329,38.53
A07,IL-1β,111113,68.3208,137.9217,50.46
H07,IL-1β,106123,65.6322,131.5852,50.12
A08,IL-1β,417213,245.3337,561.6861,56.32
H08,IL-1β,412734,242.3499,554.9130,56.33
A09,IL-1β,1264883,2610.7075,2330.2792,12.03
H09,IL-1β,1186955,1806.7974,2112.9621,14.49
A02,IL-2,421,0.8694,0.9576,9.21
H02,IL-2,141,,,
A03,IL-2,411,0.8042,0.8997,10.62
H03,IL-2,179,,,
A04,IL-2,439,0.9833,1.0611,7.32
H04,IL-2,349,0.3495,0.5337,34.52
A05,IL-2,856,3.0910,3.3302,7.18
H05,IL-2,982,3.6346,3.9880,8.86
A06,IL-2,3151,11.1528,14.6052,23.64
H06,IL-2,3745,12.9318,17.3907,25.64
A07,IL-2,11944,33.8444,53.9578,37.28
H07,IL-2,13807,38.1418,62.0069,38.49
A08,IL-2,50561,117.1733,216.0757,45.77
H08,IL-2,57538,132.5087,245.1535,45.95
A09,IL-2,188551,632.9635,826.8543,23.45
H09,IL-2,239755,1331.8793,1083.2198,22.96
A02,IL-4,188,0.0181,0.0147,22.50
H02,IL-4,94,,,
A03,IL-4,786,0.2843,0.2030,40.08
H03,IL-4,829,0.2995,0.2164,38.36
A04,IL-4,2572,0.8112,0.7619,6.46
H04,IL-4,2776,0.8638,0.8257,4.61
A05,IL-4,10177,2.4407,3.1362,22.18
H05,IL-4,10745,2.5473,3.3135,23.13
A06,IL-4,39995,7.1656,12.5048,42.70
H06,IL-4,40060,7.1748,12.5254,42.72
A07,IL-4,154084,21.4840,49.8603,56.91
H07,IL-4,154892,21.5799,50.1344,56.96
A08,IL-4,605506,81.9822,229.3021,64.25
